#{"t_start": 1733170565.426464, "env_id": "None"}
r,l,t
-16.91,30,142.30072
-10.32,66,142.482183
-10.56,24,142.562003
-13.72,23,142.643319
-13.8,18,142.697927
-10.91,38,142.808213
18.866183,41,142.935208
-19.15,33,143.027423
-16.31,30,143.114622
-10.37,49,143.273365
-14.0,18,143.32641
-19.7,28,143.411267
-13.16,58,143.579028
-10.55,33,143.689262
-16.43,42,143.806426
-16.07,36,143.934468
7.204167,36,144.050266
-16.7,22,144.117344
-7.68,51,144.283278
-10.63,30,144.37305
-10.26,53,144.508489
-16.72,28,144.579357
-7.7,42,144.692965
10.667785,23,144.764591
-10.24,64,144.967836
-13.69,33,145.068621
-10.12,27,145.157077
-10.36,32,145.258507
-19.41,29,145.340449
-13.65,32,145.477542
-19.43,33,145.549415
-7.81,27,145.610174
-16.24,31,145.68201
10.222222,27,145.742696
-16.14,34,145.829106
-16.47,34,145.944753
7.597403,45,146.097371
-10.11,41,146.251603
-16.43,26,146.34539
-13.14,46,146.491066
-7.45,48,146.63531
10.026887,40,146.773693
9.645937,40,146.905028
-21.18,18,146.975211
-10.09,34,147.111273
8.0,32,147.220686
-11.0,35,147.334596
-19.27,24,147.411467
-13.78,35,147.525399
13.278746,38,147.649895
-7.51,62,147.828315
10.650333,63,148.09612
9.675335,45,148.237295
-16.04,24,148.322623
-11.0,35,148.435439
-13.67,37,148.555099
-16.36,25,148.635838
-11.0,33,148.744705
-11.0,39,148.870376
7.847973,52,149.061457
-13.17,30,149.161121
-10.02,82,149.409152
-8.0,54,149.585078
-14.0,26,149.677077
-14.0,22,149.747122
10.421244,26,149.830771
-11.0,27,149.925694
-17.0,31,150.015611
-13.91,24,150.09095
-19.03,41,150.182386
-13.24,25,150.243808
10.04948,43,150.376417
-16.35,29,150.467382
-10.91,41,150.582135
-7.47,69,150.785979
9.992232,42,150.931673
-16.61,37,151.044849
-16.69,21,151.111146
-19.33,29,151.19545
-7.15,36,151.308688
-19.2,29,151.403122
10.298137,84,151.584192
7.30038,35,151.663875
-10.3,21,151.711545
-10.67,31,151.793613
-13.41,73,152.004714
-7.37,50,152.163577
-14.0,20,152.227722
-11.0,31,152.322502
-10.53,29,152.416261
-16.79,44,152.551248
-13.15,48,152.695599
-10.7,49,152.842272
-16.37,31,152.9489
7.036066,45,153.084401
-13.76,40,153.199298
7.643293,57,153.381932
-10.51,37,153.501522
-7.78,53,153.669137
-16.6,31,153.759602
-8.0,40,153.882054
10.632454,73,154.138942
-8.0,106,154.457472
-13.91,38,154.584734
-13.93,47,154.732325
-14.0,35,154.842212
-13.29,62,155.042464
-10.95,42,155.180362
7.527559,33,155.28747
-7.82,46,155.432713
-7.71,30,155.533996
-13.63,26,155.615237
-16.81,53,155.753289
-17.0,51,155.907937
-16.52,46,156.049779
-7.83,47,156.194955
7.428571,49,156.329489
-16.76,27,156.411701
-22.29,69,156.580979
-16.05,21,156.644809
-19.75,28,156.726544
-14.0,27,156.826949
-10.02,47,156.985259
-19.7,28,157.069377
-13.1,34,157.169128
-13.5,33,157.282099
15.294689,48,157.434692
-13.91,56,157.602606
7.319149,41,157.728974
-10.83,48,157.856853
-14.0,37,157.977886
7.9,36,158.096419
-7.4,54,158.252694
-16.31,36,158.362599
-11.0,51,158.535291
-19.84,45,158.683681
-10.96,65,158.818347
-22.94,63,158.965576
-16.3,26,159.049805
17.946792,44,159.177249
-19.02,46,159.316895
10.507321,36,159.42924
8.0,47,159.582739
-10.53,44,159.737588
-7.12,41,159.865372
-13.57,30,159.972666
-13.52,34,160.080779
-16.56,21,160.145278
-16.77,23,160.21319
-10.62,26,160.294687
-8.0,39,160.399596
-19.1,22,160.460917
-10.36,39,160.569166
10.59387,51,160.732847
-10.12,52,160.894724
-14.0,30,161.006768
-13.6,58,161.186465
-16.04,42,161.325742
7.777049,63,161.521352
-16.52,32,161.627101
7.917241,50,161.78686
-16.18,48,161.97346
-17.0,32,162.074608
7.237548,108,162.40903
-7.84,31,162.515974
-7.9,61,162.708394
-13.52,31,162.807256
10.433099,30,162.906851
-7.3,49,163.061469
-13.82,28,163.150045
-19.77,61,163.311256
-7.99,39,163.43058
-10.44,68,163.624756
-10.66,38,163.753486
-13.02,27,163.838119
7.933824,42,163.973869
-16.81,42,164.091415
-13.52,68,164.315377
-16.88,48,164.487553
-12.26,24,164.577009
-10.04,45,164.728786
-19.48,39,164.840009
-19.59,25,164.926413
-16.4,29,165.005284
7.084034,29,165.091801
-8.0,118,165.45343
-16.5,29,165.556478
-19.75,21,165.613197
-13.78,89,165.79298
-13.34,38,165.887407
-17.0,43,166.013105
-20.0,34,166.112683
-10.71,40,166.230825
-13.17,80,166.45608
-10.36,56,166.642099
-16.34,26,166.731332
-19.52,33,166.822634
-8.0,52,166.992415
21.22529,29,167.090769
-7.01,45,167.237847
8.0,35,167.370649
-11.0,62,167.574683
15.676667,49,167.745838
-7.1,65,167.957122
-11.0,26,168.050293
-13.22,37,168.179885
-20.0,56,168.36049
-19.22,25,168.437256
-16.1,25,168.515463
8.0,61,168.692772
-19.12,17,168.747494
-13.63,37,168.85884
-11.0,38,169.021662
-10.05,34,169.144089
-13.88,34,169.257109
-13.56,30,169.354907
10.11335,55,169.533084
-13.66,37,169.660002
-13.88,29,169.758958
-16.89,50,169.900488
-20.0,25,169.979734
-10.55,33,170.077423
-10.6,48,170.221068
-13.57,40,170.342989
-12.84,25,170.434113
-22.51,20,170.498585
-13.87,24,170.568954
-16.69,28,170.644731
-10.23,38,170.751113
-10.43,23,170.819391
-8.0,47,170.963674
-11.0,27,171.051688
7.647059,46,171.201578
-13.9,31,171.306826
10.021638,50,171.468837
13.447458,40,171.593371
-18.97,32,171.695749
-16.76,25,171.776337
-16.15,31,171.846972
-16.28,34,171.9313
-7.85,88,172.120128
10.344538,51,172.277913
7.255474,34,172.393332
-10.54,35,172.512664
10.149425,28,172.602972
-16.39,31,172.705076
-16.41,47,172.835935
12.390254,79,173.133246
-8.0,49,173.299865
-13.69,35,173.413676
-13.6,36,173.535223
-16.35,27,173.628962
-10.21,31,173.735343
-14.0,35,173.85336
9.210371,29,173.969438
-10.83,46,174.117067
-13.72,27,174.187577
-19.37,34,174.276945
-7.51,53,174.443523
-10.36,33,174.549505
14.246374,38,174.678061
-8.0,41,174.81091
-14.0,48,174.982234
-10.35,38,175.128057
7.182879,57,175.895183
-10.72,48,176.062507
-19.45,44,176.186224
7.095238,44,176.342452
-10.44,39,176.45609
-11.0,63,176.640331
-19.06,35,176.766379
-13.37,41,176.893858
-7.12,45,177.064247
13.65873,43,177.210299
-10.63,47,177.346472
13.085308,58,177.549912
-20.0,31,177.635206
-8.0,36,177.728533
-15.36,42,177.845417
-13.9,34,177.95427
12.682238,53,178.13509
-13.52,29,178.232325
-10.57,41,178.368426
7.636364,68,178.58721
-8.0,35,178.715519
-13.87,31,178.832602
13.767606,25,178.907503
-7.88,37,179.035886
-9.69,59,179.290191
-16.84,38,179.436005
-19.53,41,179.563205
-13.15,59,179.735606
-22.06,13,179.779927
-13.92,51,179.959934
9.86154,47,180.118341
-11.0,51,180.301882
-7.44,39,180.425634
-13.91,36,180.540164
-14.0,60,180.697167
-17.0,60,180.823172
7.756364,69,181.006359
9.410655,40,181.128944
-10.54,70,181.360134
-11.0,37,181.491206
-22.69,18,181.544742
-16.56,39,181.657487
-11.0,35,181.753267
-10.1,34,181.842375
-19.28,24,181.917386
-9.38,49,182.083628
-18.62,38,182.199996
-7.81,44,182.338506
-19.29,53,182.491418
-13.45,34,182.607199
-13.76,72,182.819958
-10.1,65,183.03095
-11.0,71,183.255009
7.567164,31,183.370254
-7.69,29,183.46268
-14.0,70,183.665391
-22.15,27,183.744305
17.0,26,183.83465
16.598425,16,183.888835
-7.52,46,184.034022
12.565472,65,184.238346
7.859375,44,184.377081
-10.76,44,184.520547
-13.23,41,184.639579
7.160173,39,184.76543
-7.56,50,184.92746
9.959192,47,185.078736
-13.94,28,185.166529
-7.43,30,185.255822
-16.51,37,185.383008
-16.8,25,185.458742
13.48145,32,185.546678
7.375479,35,185.64974
-10.13,25,185.731183
-16.58,32,185.828897
-14.0,32,185.942901
-16.8,26,186.020337
-13.16,37,186.128453
-19.04,25,186.199444
-16.03,14,186.238335
-7.7,34,186.337725
-13.19,26,186.41114
-16.68,63,186.60781
-16.55,38,186.733227
-10.47,42,186.871818
7.064935,34,187.020464
-10.23,33,187.12166
-10.55,30,187.219983
-19.89,18,187.276892
7.077703,77,187.507715
-10.01,30,187.57341
-14.0,32,187.643381
-16.77,40,187.734842
-8.0,44,187.831909
-16.81,39,187.947301
-13.23,29,188.030345
-7.5,57,188.194221
16.181659,54,188.361345
-10.46,54,188.525979
-16.06,33,188.639905
9.771758,51,188.790447
15.28625,29,188.88034
-11.0,75,189.106592
-14.0,42,189.244348
-10.61,45,189.378347
-7.88,46,189.518116
10.655502,45,189.658227
-7.28,38,189.785854
-13.52,26,189.863051
-14.0,38,189.992833
-10.44,55,190.163538
-14.0,24,190.249334
-20.0,29,190.339721
7.38209,26,190.425234
-17.0,28,190.504589
-11.0,37,190.610012
-10.41,31,190.69361
-13.11,34,190.802244
-16.72,44,190.944034
-22.17,27,191.026573
-10.61,33,191.122514
-10.49,28,191.21075
10.574603,27,191.288108
-8.0,24,191.356426
-19.7,25,191.423623
-14.0,33,191.514222
-10.78,65,191.687445
-10.24,45,191.822434
-16.4,32,191.934286
-14.0,28,192.012381
-13.27,27,192.0974
-15.73,26,192.177794
-16.79,27,192.264021
7.475694,53,192.412741
5.0,30,192.503066
-17.0,38,192.612937
-10.63,52,192.76609
-16.84,32,192.862044
-19.4,28,192.95843
-19.23,21,193.017464
-16.82,18,193.069351
-16.8,37,193.178216
-10.21,26,193.257923
-10.02,26,193.332327
-10.99,130,193.666489
10.904167,24,193.749175
-10.9,40,193.865719
7.049261,65,194.120799
-7.99,30,194.185988
-16.89,35,194.264064
-10.62,25,194.3201
-13.5,68,194.461687
-10.26,30,194.544319
-8.0,30,194.632539
-13.81,29,194.717709
-16.39,32,194.811537
-13.8,27,194.888832
-13.31,44,195.016327
-13.09,32,195.121045
-14.0,22,195.199375
7.208494,37,195.305313
-7.19,44,195.431666
13.066176,36,195.550492
-10.23,33,195.65855
-19.07,23,195.72413
-15.95,46,195.852113
13.295276,34,195.959264
10.016556,51,196.103007
-10.47,25,196.192817
-19.3,26,196.26514
-7.04,36,196.379876
10.688462,34,196.487585
-20.0,51,196.638745
-16.68,26,196.735023
-19.05,18,196.789774
-8.0,58,196.976342
-7.25,46,197.132356
-7.81,26,197.21589
-10.55,49,197.36174
-14.0,33,197.462079
-19.24,21,197.524299
-13.45,54,197.692244
-16.84,26,197.766079
-10.91,33,197.879104
-19.04,22,197.948049
-13.48,21,198.00456
7.175373,49,198.152441
-11.0,29,198.242913
-13.85,33,198.344878
-7.64,43,198.464219
-13.94,33,198.559112
-8.0,33,198.659504
-7.37,50,198.817885
7.418251,38,198.907429
-7.02,35,198.997801
19.162055,25,199.054978
-7.73,35,199.134105
7.804487,63,199.308504
18.818816,23,199.3759
-22.66,26,199.445203
-14.0,34,199.533772
-13.26,38,199.649988
-13.34,23,199.719073
-16.45,26,199.799432
-17.0,19,199.853851
-10.9,29,199.938668
-19.77,40,200.047067
8.0,74,200.258277
-19.22,56,200.44367
-20.0,39,200.578208
-16.14,26,200.663088
-16.31,20,200.728795
11.0,28,200.813747
-13.5,47,200.976518
7.634921,38,201.093285
-8.0,32,201.190462
-16.15,32,201.28931
-19.8,20,201.350636
-17.0,31,201.43416
-8.0,25,201.510847
-22.55,16,201.560174
-7.96,75,201.793475
16.074074,41,201.948646
-18.92,34,202.060908
-16.95,33,202.166161
10.548611,28,202.259711
-13.96,26,202.332176
-16.37,21,202.390399
7.643293,49,202.531843
-7.76,67,202.727378
-16.06,26,202.811234
-16.94,46,202.956399
-20.0,26,203.032407
-7.51,53,203.196528
12.759485,28,203.299467
-16.81,26,203.372535
-10.4,43,203.492377
-13.38,44,203.637763
-11.0,33,203.745872
-10.66,59,203.903718
13.459016,33,204.005052
-13.69,29,204.084441
-13.29,26,204.166541
18.964539,50,204.313411
13.431424,50,204.454489
14.311302,30,204.554726
-10.83,34,204.660897
-17.17,50,204.805662
-20.0,38,204.944795
10.094959,36,205.076429
-16.72,34,205.165874
-13.67,24,205.218695
-17.0,24,205.270474
-10.19,86,205.448311
-7.91,24,205.504271
-10.85,28,205.571095
-20.0,25,205.630637
-14.0,30,205.713351
-7.84,35,205.811792
-16.2,19,205.868021
-10.02,32,205.974747
-7.56,27,206.05652
-8.0,45,206.199221
10.084112,40,206.321024
-17.0,24,206.393427
-19.1,29,206.481728
-10.5,25,206.557018
-14.0,25,206.616524
-16.06,28,206.681228
-10.24,46,206.813114
7.375839,31,206.935983
-10.07,36,207.049482
7.749091,83,207.325875
9.882683,29,207.438962
-10.46,47,207.58401
-13.81,46,207.723453
-22.53,35,207.838494
-13.13,35,207.989707
-16.29,41,208.129049
-10.15,29,208.237691
12.316809,27,208.333326
-14.0,48,208.47272
-10.35,56,208.648183
7.246269,50,208.807164
-13.28,29,208.902727
-10.33,37,209.033618
-11.0,77,209.269674
-19.76,28,209.363251
-10.5,74,209.538236
-13.81,33,209.60677
-14.0,25,209.665196
-10.78,39,209.748901
-13.27,81,209.965688
-7.61,31,210.065638
-13.77,27,210.142128
-17.0,29,210.222441
-16.56,50,210.360484
-12.37,46,210.492358
-7.5,57,210.667283
-16.91,51,210.806309
-19.67,43,210.941172
-13.36,62,211.116863
-16.11,29,211.206117
-11.0,29,211.308319
7.227129,43,211.438038
7.302817,59,211.618854
8.0,54,211.783904
10.306569,28,211.879126
-13.78,44,212.019732
-13.84,27,212.099643
-13.43,27,212.181295
-19.7,53,212.328907
-22.3,24,212.402134
-13.89,44,212.524378
-13.23,45,212.645923
-10.5,31,212.747825
-13.71,41,212.864169
10.053448,34,212.980568
-10.44,24,213.055868
10.03876,48,213.200097
-10.64,54,213.361739
-10.23,53,213.516558
-19.47,27,213.594066
9.750889,43,213.727774
-10.3,75,213.949231
-22.02,17,214.007709
-10.44,42,214.132017
-19.68,20,214.190746
16.145098,16,214.237095
-16.48,32,214.32992
-15.42,30,214.415163
-10.41,24,214.483643
-13.52,35,214.576033
-11.0,45,214.715176
-19.19,18,214.771286
7.041379,43,214.930908
-14.0,25,215.033458
-11.0,65,215.346596
-7.73,28,215.452436
-10.13,32,215.549797
-7.43,46,215.688341
-7.53,27,215.771498
-17.0,32,215.858546
-8.0,40,215.986931
-10.7,23,216.056757
-14.0,43,216.190264
-10.62,72,216.409136
-7.7,35,216.54648
-13.69,24,216.622349
-13.03,36,216.740331
-10.13,78,216.97922
10.176869,64,217.153929
7.275556,38,217.237166
-19.35,28,217.300433
-13.41,38,217.380184
-16.5,32,217.45014
7.530822,42,217.556736
-13.06,30,217.646697
-10.55,27,217.733314
-7.07,40,217.853679
7.903846,32,217.965823
-7.23,30,218.056342
-13.35,38,218.157811
-16.7,26,218.233115
-10.02,51,218.380495
-10.61,43,218.516261
-7.43,90,218.762964
-19.52,23,218.835808
-16.61,84,219.094942
9.876304,44,219.255401
10.810185,25,219.338231
-19.07,31,219.427699
-16.15,29,219.509213
-13.76,40,219.627398
-22.16,37,219.732376
-7.81,45,219.863977
-16.59,25,219.948172
-12.39,51,220.090486
-17.0,37,220.192352
-16.5,26,220.271609
-10.64,35,220.383493
-16.06,58,220.561793
-13.94,27,220.645175
-13.31,23,220.715001
-14.0,40,220.822231
12.860465,38,220.956463
-13.48,34,221.068576
-13.16,36,221.180628
-19.88,25,221.258674
-16.3,34,221.379323
-13.57,34,221.479946
-10.41,26,221.56771
-13.74,23,221.63742
8.0,30,221.727941
-14.0,19,221.784693
-19.02,49,222.642877
12.628894,33,222.747847
-16.77,45,222.880932
-22.4,12,222.928898
9.377673,36,223.043439
-16.35,21,223.106519
10.065182,40,223.22195
-13.06,54,223.381491
-10.94,40,223.521784
-13.03,47,223.670002
-10.33,29,223.766844
-17.0,37,223.866875
-19.3,48,224.018496
13.489664,54,224.178275
-7.3,42,224.312978
-13.34,41,224.442185
-13.23,49,224.58809
-13.87,39,224.696182
15.730554,22,224.771397
-19.3,29,224.838496
-19.08,27,224.895855
-16.27,49,225.024598
-7.44,65,225.160692
-13.91,51,225.277793
-11.0,53,225.429715
-22.18,41,225.542298
-19.79,20,225.609269
-19.07,26,225.68097
-22.31,19,225.730804
-13.71,35,225.825574
-11.0,46,225.965121
-13.12,35,226.054577
-13.81,27,226.133819
10.050693,58,226.300159
-10.63,30,226.393735
-7.51,38,226.508082
-16.89,25,226.589264
7.794677,37,226.701121
16.413907,23,226.781569
-13.32,66,227.00161
-13.81,38,227.124154
10.279851,43,227.258617
-10.88,48,227.410685
-19.83,33,227.503959
-19.18,42,227.622277
-19.01,21,227.689537
-7.19,79,227.967743
7.75,47,228.124576
-19.53,20,228.197587
-19.34,40,228.309325
-13.68,27,228.390096
-13.44,33,228.484588
-10.26,25,228.559958
-10.28,37,228.663936
-13.36,28,228.745039
-13.63,64,228.952297
7.207843,29,229.056145
8.0,90,229.338277
7.29563,86,229.607535
7.412698,74,229.826369
-10.97,33,229.942666
-13.14,27,230.030569
-16.5,42,230.169664
-13.15,32,230.266353
10.358255,29,230.353747
12.325376,32,230.449029
-13.36,32,230.549522
-11.0,31,230.638312
-10.13,46,230.771791
7.6,43,230.898341
-16.91,22,230.981525
10.232143,58,231.151056
-22.44,39,231.259551
7.783883,32,231.362134
16.487179,38,231.48188
15.001487,24,231.557674
-13.68,33,231.656574
-13.3,55,231.805506
-16.26,28,231.895979
-16.03,76,232.123459
10.066266,76,232.355382
-16.74,29,232.448373
-13.35,42,232.569064
7.044534,42,232.690736
-13.24,40,232.825463
-11.0,36,233.025905
-13.59,56,233.16166
-11.0,51,233.281326
-13.79,28,233.361292
-10.17,33,233.46149
-8.0,38,233.581759
-12.57,34,233.692324
-13.32,50,233.835161
-16.76,25,233.926248
-13.52,35,234.039083
-7.24,29,234.134169
-13.49,60,234.305579
-11.0,46,234.440737
-17.0,43,234.573886
-13.5,42,234.705295
-16.24,25,234.787303
-13.94,32,234.878878
-7.73,32,234.982736
-7.75,36,235.089342
7.13354,35,235.194719
-14.0,41,235.304694
-13.75,39,235.413975
-17.0,72,235.657157
-10.42,64,235.850224
-10.81,100,236.152285
-19.53,48,236.310459
7.581858,35,236.432956
-14.0,39,236.546857
-13.67,28,236.639547
-12.7,29,236.734699
-10.02,54,236.897396
7.865079,79,237.176179
-10.17,33,237.290245
-10.62,42,237.428328
7.402482,51,237.612285
10.518293,37,237.741565
-7.51,27,237.827501
-16.6,30,237.926866
-16.6,43,238.056572
-11.0,56,238.222928
11.835596,25,238.307771
11.54967,41,238.434315
-11.0,44,238.568744
7.470199,35,238.675202
-10.42,29,238.760773
-7.16,53,238.925712
-13.62,39,239.050713
-13.56,25,239.129848
-9.44,52,239.287413
-7.66,49,239.439198
-11.0,28,239.526588
-19.71,46,239.688691
-10.01,73,239.890816
-19.6,21,239.994437
-13.45,26,240.078111
7.264706,34,240.181645
-13.23,57,240.347583
-7.24,31,240.451044
16.915441,20,240.526853
-16.79,28,240.590597
7.367647,48,240.693187
-17.0,29,240.756398
9.73518,61,240.89116
7.910156,40,241.007409
10.671477,32,241.096427
17.825758,38,241.201432
7.616162,40,241.328616
-7.75,45,241.467321
22.22623,20,241.533723
22.565068,15,241.576599
-10.84,30,241.650852
-10.14,35,241.750005
-10.74,51,241.883984
-7.62,36,242.005489
7.232824,41,242.128373
-13.65,27,242.209792
-20.0,35,242.313915
-13.99,27,242.398453
-13.14,30,242.486376
10.089171,50,242.638007
-7.43,38,242.758134
-7.78,41,242.884174
-13.56,40,243.025383
-16.78,66,243.235666
-10.66,39,243.363204
-12.61,27,243.448777
-10.02,64,243.641098
-19.39,30,243.733703
-13.83,40,243.851896
-13.68,32,243.969418
-10.12,31,244.065977
16.28227,41,244.189102
-16.94,38,244.308772
-11.0,76,244.516271
7.168067,30,244.624483
-16.49,24,244.701526
10.331915,35,244.815747
-19.18,38,244.950413
-16.64,23,245.020341
-11.0,46,245.147402
-16.12,22,245.213098
-14.0,44,245.337175
-7.8,60,245.511198
-11.0,26,245.594981
-10.9,44,245.72425
-16.35,19,245.779895
-7.61,34,245.870895
-10.88,67,246.068464
-10.88,32,246.171266
-16.18,24,246.240142
-14.0,46,246.36934
16.714789,28,246.465227
13.685277,69,246.668226
-7.66,33,246.780268
-13.51,51,246.965795
7.11745,60,247.201224
-16.91,25,247.279662
-16.15,20,247.343203
-7.21,42,247.457538
-10.18,21,247.520569
-7.22,77,247.767121
-7.35,65,247.990513
-16.61,20,248.057785
-11.0,30,248.161809
-13.59,33,248.236135
-10.95,57,248.356056
10.214402,67,248.499506
-7.74,44,248.59507
-11.0,43,248.695262
-13.43,59,248.85251
-7.06,131,249.253698
-11.0,45,249.421961
-13.7,26,249.510195
-19.24,23,249.587943
-18.8,18,249.639872
7.515254,27,249.718675
7.30292,51,249.871933
-16.65,38,250.005949
7.935374,46,250.152145
-10.33,27,250.24452
-7.67,31,250.339559
-17.0,28,250.428394
19.526132,16,250.483789
-13.03,36,250.579137
-7.17,33,250.679514
-11.0,28,250.755861
-10.62,27,250.833386
-10.37,41,250.966135
-16.55,26,251.044092
-15.98,23,251.124132
-13.61,23,251.194316
12.964829,45,251.329503
-16.56,28,251.410816
12.518221,55,251.559544
-10.81,41,251.691965
-10.65,38,251.805621
10.333218,19,251.867563
-19.54,35,251.975773
7.525,37,252.085301
7.88345,49,252.224354
-16.29,32,252.330437
-13.82,31,252.432659
-7.59,37,252.553149
7.084932,27,252.639923
-10.61,29,252.741002
-13.11,30,252.834925
7.945098,30,252.93667
-7.46,40,253.072036
7.160643,44,253.207139
-10.97,74,253.431994
-16.35,47,253.571928
7.182171,54,253.734733
-16.16,37,253.862585
-19.54,37,253.99925
-13.58,88,254.237134
-16.56,51,254.380348
-8.0,44,254.520366
-17.0,25,254.606602
10.739465,48,254.751094
-10.01,33,254.853959
-14.0,46,255.000323
-13.51,43,255.131582
-8.0,38,255.261687
-13.35,36,255.383821
-19.44,24,255.457992
-17.5,68,255.675815
-14.0,25,255.760514
-13.08,42,255.883136
-10.89,34,255.998325
-19.74,30,256.099492
-10.66,46,256.231182
7.450172,47,256.368069
7.071429,44,256.502965
-10.62,40,256.648011
-13.39,39,256.828062
7.062069,52,256.955973
-9.15,28,257.019788
-16.53,23,257.073204
-16.5,43,257.165292
7.747664,54,257.296868
7.760274,26,257.377699
-7.28,69,257.560901
10.075758,33,257.664616
22.125537,37,257.766689
-13.15,39,257.863667
10.588415,58,258.035665
7.666667,63,258.244243
9.964297,53,258.413321
13.776952,51,258.539818
-7.48,40,258.638203
-19.24,38,258.756603
-8.0,31,258.85032
14.262396,37,258.991073
-13.73,23,259.072268
-19.56,20,259.135782
-19.32,47,259.276903
-7.01,38,259.388245
7.25,64,259.586845
-14.0,55,259.774169
-19.54,30,259.870933
-15.74,30,259.979872
-7.01,60,260.174097
-13.46,41,260.296469
-13.21,24,260.377453
7.437262,34,260.488288
-13.91,20,260.542272
-7.58,41,260.640333
-16.79,57,260.792397
-13.97,24,260.865407
-19.57,34,260.989211
-7.51,44,261.132938
19.567227,20,261.207958
-12.84,49,261.34726
-23.0,74,261.548418
7.279412,35,261.660939
-19.9,29,261.756945
-16.24,42,261.882247
-16.59,38,262.001705
-11.0,35,262.105403
-7.35,49,262.245235
-7.39,27,262.340136
22.569231,12,262.386592
-16.79,36,262.486518
-11.0,53,262.640793
-14.0,35,262.736673
-7.49,37,262.844814
-16.82,51,262.99561
-10.78,48,263.142302
-16.75,37,263.258963
-7.37,97,263.55993
13.565916,23,263.644686
7.2,55,263.825712
10.784577,38,263.938179
10.025411,32,264.023133
-16.27,39,264.133656
-10.32,54,264.287623
-19.16,34,264.383633
-13.48,32,264.483218
-13.27,42,264.605556
-10.48,37,264.718621
-13.43,46,264.861869
-10.76,34,264.983987
7.805344,67,265.178933
12.479417,87,265.448044
-11.0,33,265.562719
-7.58,45,265.713923
-7.84,30,265.787012
-16.02,47,265.882998
7.670034,42,265.978564
10.712885,42,266.072671
10.485216,30,266.138179
13.123048,26,266.204316
-7.68,64,266.386816
7.516556,38,266.515845
-8.0,59,266.692586
-23.0,17,266.74452
-10.38,28,266.818817
-13.88,23,266.89305
-10.21,33,267.010697
-10.38,41,267.139774
-7.26,68,267.357637
-13.47,33,267.464959
-14.0,28,267.559734
-7.83,80,267.803436
15.6859,37,267.971334
-11.0,42,268.146607
-19.09,28,268.239721
-13.1,30,268.326908
12.008114,130,268.725457
7.340741,27,268.819687
-10.59,23,268.896883
-16.11,46,269.036192
-19.43,32,269.132101
-7.26,34,269.241542
7.054286,91,269.497777
-13.27,35,269.608339
-19.62,28,269.696484
-16.14,35,269.79819
-19.25,29,269.890556
-14.0,20,269.967271
-14.0,36,270.078934
9.0,39,270.193968
-13.14,33,270.291462
-10.77,30,270.391908
-7.88,54,270.542023
14.0,22,270.613447
-19.64,21,270.669087
-20.0,30,270.749323
-13.86,52,270.900039
7.667808,37,271.032519
-11.0,63,271.228963
-10.96,27,271.320749
-13.91,40,271.43318
-13.24,25,271.511396
-19.13,22,271.577045
-13.9,29,271.665079
-16.12,20,271.724492
-19.01,32,271.800578
-19.75,33,271.885804
-17.0,47,272.037023
13.137931,21,272.111363
-17.0,49,272.245599
-10.56,25,272.303398
-10.34,33,272.375814
7.609272,32,272.448471
-7.62,30,272.516365
-16.24,25,272.570633
7.811024,35,272.645191
-11.0,34,272.722878
-16.83,46,272.834074
16.052817,33,272.95849
-11.0,23,273.029359
-8.0,83,273.266434
-10.61,39,273.416991
-10.62,46,273.568011
-7.34,35,273.683446
-14.0,51,273.829961
-11.0,26,273.914419
-13.66,35,274.020822
7.276423,38,274.133859
-13.26,33,274.235725
10.757202,32,274.341945
-10.76,63,274.521779
9.784106,45,274.661948
-10.23,43,274.754719
-13.62,27,274.815688
9.476932,29,274.88512
-16.54,86,275.195301
-13.11,25,275.278592
-19.03,18,275.338521
12.259938,40,275.460387
-19.39,29,275.538695
-13.52,23,275.6113
-8.0,49,275.752197
-13.84,38,275.85945
-19.2,27,275.953165
-19.2,29,276.028254
-13.4,35,276.104448
7.841667,51,276.231097
-14.0,34,276.326968
9.928437,58,276.506136
-10.41,24,276.589039
-10.03,66,276.77562
-17.0,26,276.862025
-8.0,43,277.001906
-16.57,29,277.091061
-8.0,37,277.196813
7.825926,51,277.350789
-7.24,31,277.445347
-13.57,45,277.599731
7.301158,46,277.737669
-16.51,51,277.890283
-16.73,35,278.006007
-14.0,24,278.078334
-13.43,32,278.164791
-13.91,31,278.254325
-11.0,38,278.358518
-16.88,33,278.455853
16.823741,39,278.571609
-7.58,39,278.696176
-8.0,51,279.824706
-11.0,49,279.992356
-19.4,35,280.092726
-7.45,45,280.239658
9.753824,71,280.437879
-14.0,29,280.529132
12.300991,25,280.608993
-10.65,43,280.739511
-7.55,37,280.849965
-17.0,35,280.962173
-10.65,32,281.061545
-14.0,54,281.218636
-13.19,30,281.312506
-8.0,22,281.380391
-16.52,28,281.463188
-13.07,26,281.54114
-9.68,26,281.620402
10.627586,45,281.776881
-11.0,36,281.891872
-10.72,31,282.004308
-16.49,23,282.076991
-19.11,37,282.189666
-16.1,27,282.268882
-11.0,23,282.337275
-19.08,19,282.397269
-7.35,25,282.48384
8.0,27,282.570684
-19.94,39,282.807448
7.277397,64,283.091406
15.186358,33,283.220465
7.378049,53,283.391236
-16.1,37,283.635494
-19.9,28,283.915941
-16.21,28,284.263935
7.809524,40,284.459343
-13.7,23,284.551878
7.478599,33,284.648316
-10.24,33,284.75438
10.291396,76,284.995773
-13.85,36,285.117398
8.104731,30,285.218609
