#{"t_start": 1733170565.426464, "env_id": "None"}
r,l,t
-19.08,40,30.157673
-16.09,23,30.227793
15.480021,43,30.337962
7.090909,39,30.470796
-11.0,76,30.707895
-13.94,93,31.003853
-19.23,29,31.103021
-16.22,39,31.221259
-10.91,69,31.421284
-13.87,33,31.527566
7.507812,39,31.649528
10.618519,41,31.77532
-16.57,27,31.86991
-10.5,44,32.012285
-10.26,35,32.105234
-13.38,46,32.216811
-19.01,23,32.265402
-16.54,62,32.420377
-11.0,23,32.491426
-10.58,27,32.568237
-16.17,32,32.664056
7.460177,74,32.876039
-17.0,26,32.976668
-13.06,22,33.042117
-16.98,26,33.10904
-10.25,38,33.20534
-10.56,29,33.273184
-13.74,47,33.373152
-16.19,38,33.479749
-16.32,38,33.587849
-10.71,36,33.696302
-10.49,34,33.801513
-13.56,25,33.881498
-13.35,38,33.993106
-19.7,66,34.200626
7.703704,67,34.421602
-14.0,30,34.527109
7.558442,34,34.646303
-11.0,34,34.771706
-13.78,45,34.904056
-12.44,24,35.042698
-10.71,48,35.205713
-11.0,43,35.317305
-10.73,49,35.458937
-16.06,51,35.620298
-16.61,39,35.751469
9.767939,60,35.97638
-17.0,35,36.06781
10.098976,46,36.168221
-7.22,53,36.300661
-10.03,55,36.465122
-13.53,68,36.681671
-13.78,35,36.798999
-13.81,29,36.891087
-19.99,38,37.018013
13.040111,60,37.195287
-13.14,26,37.282207
-13.81,75,37.506521
-7.45,38,37.654242
-7.79,64,37.817985
-13.05,33,37.910378
-13.22,23,37.985266
-14.0,33,38.083031
-7.32,43,38.216902
-13.36,30,38.316312
-10.28,36,38.416743
13.467181,23,38.497371
-7.88,55,38.655605
-7.07,41,38.786214
10.775641,41,38.948171
12.074263,47,39.101753
-10.92,41,39.224373
9.112399,36,39.351706
-16.54,37,39.467305
-19.14,27,39.550024
-16.55,44,39.676393
-7.51,36,39.787805
-16.17,36,39.893046
-13.05,27,39.976289
-10.19,29,40.045302
-16.03,30,40.11796
-20.0,32,40.20807
-10.5,31,40.303047
-16.7,24,40.373318
-10.52,36,40.488714
-13.37,28,40.553159
-22.58,25,40.604019
7.347945,40,40.71553
-11.0,25,40.788527
-7.88,56,40.968792
-9.16,36,41.094822
10.19978,65,41.308966
-11.0,35,41.415719
8.0,51,41.582313
-7.48,53,41.755329
-8.0,28,41.848906
-17.0,43,42.000789
10.763566,46,42.142127
-17.0,23,42.219014
-16.35,22,42.286772
-11.0,24,42.371525
7.804878,23,42.450205
7.686154,69,42.889971
12.743561,36,42.996495
-11.0,23,43.05661
-10.42,27,43.141005
8.0,50,43.284062
-13.9,39,43.402272
-13.29,25,43.471691
-16.08,26,43.543491
-13.46,29,43.626007
-10.82,33,43.722854
-19.41,26,43.797409
-19.49,33,43.886086
-10.51,37,43.992525
-19.91,43,44.110929
13.03051,33,44.212997
-10.61,34,44.320454
-16.02,42,44.445817
7.522293,76,44.683287
7.72,635,45.483575
-16.34,53,45.63751
-14.0,41,45.77803
-11.0,40,45.902107
-10.88,35,46.01716
7.907407,98,46.331056
-19.91,30,46.421028
-10.1,73,46.648273
-16.36,49,46.814757
-13.88,29,46.907596
-17.0,27,47.002304
-10.02,75,47.21416
-10.85,42,47.308806
-10.76,40,47.411803
-8.0,57,47.587726
-22.32,32,47.682317
-13.32,21,47.747565
-13.34,39,47.861002
7.462963,31,47.964279
-17.0,41,48.085556
-13.81,28,48.177862
10.20438,24,48.250787
-14.0,30,48.346486
-8.0,67,48.5343
-10.82,31,48.63765
-7.48,56,48.810308
-14.0,45,49.004856
9.187665,30,49.101288
-22.01,20,49.148513
-10.01,25,49.212052
